-2000,1000,7000,80
-2000,-50,1000,1100
600,850,500,50
1400,850,700,50
1100,700,300,50
1500,550,600,50
1700,400,400,50
2100,250,800,830
3200,367,400,50
3000,513,500,50
3600,645,300,50
3200,815,300,50
4500,815,300,50
5400,1000,700,80
6500,1000,600,80
7500,1000,7000,80
9400,300,150,700
7900,820,200,50
8200,720,150,50
8700,610,200,50
8200,520,150,50
7900,400,300,50
7900,-100,50,510
8400,250,100,50
8800,250,100,50
10800,-100,2000,1150
10500,850,300,50
10600,700,200,50
10700,550,100,50
10750,400,50,50
10400,300,100,50
9900,300,100,50
-3000,-51,15000,100
